ID,Odds,Bet,Result,Profit 
400,11,"$21,474,836,480.00 ",Lose,"-21,474,836,480.00"
401,17,"$42,949,672,960.00 ",Lose,"-42,949,672,960.00"
402,21,"$85,899,345,920.00 ",Lose,"-85,899,345,920.00"
403,15,"$171,798,691,840.00 ",Lose,"-171,798,691,840.00"
404,41,"$343,597,383,680.00 ",Lose,"-343,597,383,680.00"
405,13,"$687,194,767,360.00 ",Win,"8,246,337,208,320.00"
406,7,$10.00 ,Lose,-10.00
407,17,$20.00 ,Lose,-20.00
408,11,$40.00 ,Lose,-40.00
409,15,$80.00 ,Lose,-80.00
410,10,$160.00 ,Lose,-160.00
411,10,$320.00 ,Lose,-320.00
412,7,$640.00 ,Win,"3,840.00"
413,17,$10.00 ,Lose,-10.00
414,15,$20.00 ,Lose,-20.00
415,10,$40.00 ,Lose,-40.00
416,5,$80.00 ,Lose,-80.00
417,9,$160.00 ,Lose,-160.00
418,13,$320.00 ,Lose,-320.00
419,6.5,$640.00 ,Win,"3,520.00"
420,11,$10.00 ,Lose,-10.00
421,7.5,$20.00 ,Lose,-20.00
422,6,$40.00 ,Lose,-40.00
423,8.5,$80.00 ,Lose,-80.00
424,10,$160.00 ,Lose,-160.00
425,8,$320.00 ,Lose,-320.00
426,9,$640.00 ,Lose,-640.00
427,7,"$1,280.00 ",Lose,"-1,280.00"
428,9,"$2,560.00 ",Lose,"-2,560.00"
429,11,"$5,120.00 ",Win,"51,200.00"
430,15,$10.00 ,Lose,-10.00
431,12,$20.00 ,Lose,-20.00
432,13,$40.00 ,Lose,-40.00
433,10,$80.00 ,Lose,-80.00
434,13,$160.00 ,Lose,-160.00
435,16,$320.00 ,Win,"4,800.00"
436,11,$10.00 ,Lose,-10.00
437,9,$20.00 ,Win,160.00
438,11,$10.00 ,Lose,-10.00
439,8,$20.00 ,Win,140.00
440,5,$10.00 ,Lose,-10.00
441,3.75,$20.00 ,Win,55.00
442,7,$10.00 ,Lose,-10.00
443,5.5,$20.00 ,Win,90.00
444,8,$10.00 ,Lose,-10.00
445,5,$20.00 ,Win,80.00
446,13,$10.00 ,Lose,-10.00
447,7,$20.00 ,Lose,-20.00
448,4.5,$40.00 ,Win,140.00
449,6,$10.00 ,Win,50.00
450,8,$10.00 ,Lose,-10.00
451,9,$20.00 ,Lose,-20.00
452,11,$40.00 ,Lose,-40.00
453,11,$80.00 ,Lose,-80.00
454,11,$160.00 ,Lose,-160.00
455,10,$320.00 ,Lose,-320.00
456,13,$640.00 ,Lose,-640.00
457,13,"$1,280.00 ",Lose,"-1,280.00"
458,17,"$2,560.00 ",Lose,"-2,560.00"
459,15,"$5,120.00 ",Lose,"-5,120.00"
460,4,"$10,240.00 ",Lose,"-10,240.00"
461,7,"$20,480.00 ",Lose,"-20,480.00"
462,7,"$40,960.00 ",Lose,"-40,960.00"
463,5,"$81,920.00 ",Lose,"-81,920.00"
464,7.5,"$163,840.00 ",Lose,"-163,840.00"
465,15,"$327,680.00 ",Lose,"-327,680.00"
466,11,"$655,360.00 ",Lose,"-655,360.00"
467,19,"$1,310,720.00 ",Lose,"-1,310,720.00"
468,17,"$2,621,440.00 ",Lose,"-2,621,440.00"
469,21,"$5,242,880.00 ",Lose,"-5,242,880.00"
470,15,"$10,485,760.00 ",Lose,"-10,485,760.00"
471,15,"$20,971,520.00 ",Lose,"-20,971,520.00"
472,8,"$41,943,040.00 ",Lose,"-41,943,040.00"
473,9,"$83,886,080.00 ",Lose,"-83,886,080.00"
474,11,"$167,772,160.00 ",Lose,"-167,772,160.00"
475,7,"$335,544,320.00 ",Lose,"-335,544,320.00"
476,17,"$671,088,640.00 ",Lose,"-671,088,640.00"
477,9,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
478,10,"$2,684,354,560.00 ",Lose,"-2,684,354,560.00"
479,7,"$5,368,709,120.00 ",Lose,"-5,368,709,120.00"
480,11,"$10,737,418,240.00 ",Lose,"-10,737,418,240.00"
481,26,"$21,474,836,480.00 ",Lose,"-21,474,836,480.00"
482,7,"$42,949,672,960.00 ",Lose,"-42,949,672,960.00"
483,10,"$85,899,345,920.00 ",Lose,"-85,899,345,920.00"
484,9,"$171,798,691,840.00 ",Lose,"-171,798,691,840.00"
485,15,"$343,597,383,680.00 ",Lose,"-343,597,383,680.00"
486,11,"$687,194,767,360.00 ",Lose,"-687,194,767,360.00"
487,13,"$1,374,389,534,720.00 ",Lose,"-1,374,389,534,720.00"
488,21,"$2,748,779,069,440.00 ",Lose,"-2,748,779,069,440.00"
489,4,"$5,497,558,138,880.00 ",Lose,"-5,497,558,138,880.00"
490,5.5,"$10,995,116,277,760.00 ",Lose,"-10,995,116,277,760.00"
491,6.5,"$21,990,232,555,520.00 ",Lose,"-21,990,232,555,520.00"
492,6,"$43,980,465,111,040.00 ",Lose,"-43,980,465,111,040.00"
493,3.75,"$87,960,930,222,080.00 ",Win,"241,892,558,110,720.00"
494,34,$10.00 ,Win,330.00
495,23,$10.00 ,Lose,-10.00
496,21,$20.00 ,Lose,-20.00
497,26,$40.00 ,Lose,-40.00
498,26,$80.00 ,Lose,-80.00
499,7,$160.00 ,Lose,-160.00
500,21,$320.00 ,Lose,-320.00
501,10,$640.00 ,Lose,-640.00
502,15,"$1,280.00 ",Lose,"-1,280.00"
503,21,"$2,560.00 ",Lose,"-2,560.00"
504,10,"$5,120.00 ",Lose,"-5,120.00"
505,26,"$10,240.00 ",Lose,"-10,240.00"
506,21,"$20,480.00 ",Lose,"-20,480.00"
507,26,"$40,960.00 ",Lose,"-40,960.00"
508,9,"$81,920.00 ",Lose,"-81,920.00"
509,8,"$163,840.00 ",Lose,"-163,840.00"
510,8,"$327,680.00 ",Lose,"-327,680.00"
511,9,"$655,360.00 ",Lose,"-655,360.00"
512,11,"$1,310,720.00 ",Lose,"-1,310,720.00"
513,9,"$2,621,440.00 ",Lose,"-2,621,440.00"
514,8,"$5,242,880.00 ",Win,"36,700,160.00"
515,15,$10.00 ,Lose,-10.00
516,17,$20.00 ,Lose,-20.00
517,15,$40.00 ,Win,560.00
518,13,$10.00 ,Lose,-10.00
519,8,$20.00 ,Lose,-20.00
520,8.5,$40.00 ,Lose,-40.00
521,7.5,$80.00 ,Lose,-80.00
522,12,$160.00 ,Lose,-160.00
523,17,$320.00 ,Lose,-320.00
524,26,$640.00 ,Lose,-640.00
525,7,"$1,280.00 ",Win,"7,680.00"
526,5,$10.00 ,Lose,-10.00
527,11,$20.00 ,Lose,-20.00
528,10,$40.00 ,Lose,-40.00
529,9,$80.00 ,Lose,-80.00
530,7,$160.00 ,Lose,-160.00
531,7,$320.00 ,Lose,-320.00
532,9,$640.00 ,Lose,-640.00
533,10,"$1,280.00 ",Lose,"-1,280.00"
534,9,"$2,560.00 ",Lose,"-2,560.00"
535,9,"$5,120.00 ",Lose,"-5,120.00"
536,7,"$10,240.00 ",Lose,"-10,240.00"
537,17,"$20,480.00 ",Win,"327,680.00"
538,5.5,$10.00 ,Lose,-10.00
539,17,$20.00 ,Lose,-20.00
540,11,$40.00 ,Lose,-40.00
541,9,$80.00 ,Lose,-80.00
542,7,$160.00 ,Lose,-160.00
543,34,$320.00 ,Lose,-320.00
544,21,$640.00 ,Lose,-640.00
545,19,"$1,280.00 ",Lose,"-1,280.00"
546,15,"$2,560.00 ",Lose,"-2,560.00"
547,17,"$5,120.00 ",Lose,"-5,120.00"
548,9,"$10,240.00 ",Lose,"-10,240.00"
549,11,"$20,480.00 ",Lose,"-20,480.00"
550,11,"$40,960.00 ",Lose,"-40,960.00"
551,13,"$81,920.00 ",Lose,"-81,920.00"
552,9,"$163,840.00 ",Lose,"-163,840.00"
553,6,"$327,680.00 ",Lose,"-327,680.00"
554,17,"$655,360.00 ",Lose,"-655,360.00"
555,17,"$1,310,720.00 ",Lose,"-1,310,720.00"
556,8,"$2,621,440.00 ",Win,"18,350,080.00"
557,7,$10.00 ,Lose,-10.00
558,13,$20.00 ,Lose,-20.00
559,11,$40.00 ,Lose,-40.00
560,101,$80.00 ,Lose,-80.00
561,17,$160.00 ,Lose,-160.00
562,7,$320.00 ,Lose,-320.00
563,7,$640.00 ,Lose,-640.00
564,15,"$1,280.00 ",Lose,"-1,280.00"
565,6.5,"$2,560.00 ",Win,"14,080.00"
566,11,$10.00 ,Lose,-10.00
567,41,$20.00 ,Lose,-20.00
568,17,$40.00 ,Lose,-40.00
569,13,$80.00 ,Lose,-80.00
570,8,$160.00 ,Lose,-160.00
571,9,$320.00 ,Lose,-320.00
572,9,$640.00 ,Lose,-640.00
573,9,"$1,280.00 ",Win,"10,240.00"
574,8,$10.00 ,Lose,-10.00
575,6.5,$20.00 ,Lose,-20.00
576,8.5,$40.00 ,Lose,-40.00
577,17,$80.00 ,Lose,-80.00
578,9,$160.00 ,Lose,-160.00
579,12,$320.00 ,Lose,-320.00
580,13,$640.00 ,Lose,-640.00
581,17,"$1,280.00 ",Lose,"-1,280.00"
582,9,"$2,560.00 ",Win,"20,480.00"
583,10,$10.00 ,Lose,-10.00
584,13,$20.00 ,Lose,-20.00
585,11,$40.00 ,Lose,-40.00
586,13,$80.00 ,Lose,-80.00
587,17,$160.00 ,Lose,-160.00
588,15,$320.00 ,Lose,-320.00
589,12,$640.00 ,Win,"7,040.00"
590,11,$10.00 ,Lose,-10.00
591,9,$20.00 ,Lose,-20.00
592,12,$40.00 ,Lose,-40.00
593,11,$80.00 ,Lose,-80.00
594,15,$160.00 ,Lose,-160.00
595,11,$320.00 ,Lose,-320.00
596,13,$640.00 ,Win,"7,680.00"
597,11,$10.00 ,Lose,-10.00
598,17,$20.00 ,Lose,-20.00
599,13,$40.00 ,Lose,-40.00
600,15,$80.00 ,Lose,-80.00
601,29,$160.00 ,Lose,-160.00
602,11,$320.00 ,Win,"3,200.00"
603,9,$10.00 ,Lose,-10.00
604,13,$20.00 ,Lose,-20.00
605,34,$40.00 ,Lose,-40.00
606,46,$80.00 ,Lose,-80.00
607,71,$160.00 ,Lose,-160.00
608,83,$320.00 ,Lose,-320.00
609,41,$640.00 ,Lose,-640.00
610,21,"$1,280.00 ",Lose,"-1,280.00"
611,17,"$2,560.00 ",Lose,"-2,560.00"
612,34,"$5,120.00 ",Lose,"-5,120.00"
613,26,"$10,240.00 ",Lose,"-10,240.00"
614,21,"$20,480.00 ",Lose,"-20,480.00"
615,21,"$40,960.00 ",Lose,"-40,960.00"
616,34,"$81,920.00 ",Lose,"-81,920.00"
617,17,"$163,840.00 ",Lose,"-163,840.00"
618,19,"$327,680.00 ",Lose,"-327,680.00"
619,15,"$655,360.00 ",Lose,"-655,360.00"
620,13,"$1,310,720.00 ",Lose,"-1,310,720.00"
621,17,"$2,621,440.00 ",Win,"41,943,040.00"
622,105,$10.00 ,Lose,-10.00
623,67,$20.00 ,Lose,-20.00
624,23,$40.00 ,Lose,-40.00
625,34,$80.00 ,Lose,-80.00
626,19,$160.00 ,Lose,-160.00
627,26,$320.00 ,Lose,-320.00
628,15,$640.00 ,Lose,-640.00
629,26,"$1,280.00 ",Lose,"-1,280.00"
630,26,"$2,560.00 ",Lose,"-2,560.00"
631,41,"$5,120.00 ",Lose,"-5,120.00"
632,29,"$10,240.00 ",Lose,"-10,240.00"
633,34,"$20,480.00 ",Lose,"-20,480.00"
634,26,"$40,960.00 ",Lose,"-40,960.00"
635,2.25,"$81,920.00 ",Win,"102,400.00"
636,5.5,$10.00 ,Lose,-10.00
637,4.5,$20.00 ,Lose,-20.00
638,3.75,$40.00 ,Lose,-40.00
639,6,$80.00 ,Lose,-80.00
640,13,$160.00 ,Lose,-160.00
641,12,$320.00 ,Lose,-320.00
642,11,$640.00 ,Lose,-640.00
643,26,"$1,280.00 ",Lose,"-1,280.00"
644,26,"$2,560.00 ",Lose,"-2,560.00"
645,9,"$5,120.00 ",Lose,"-5,120.00"
646,10,"$10,240.00 ",Lose,"-10,240.00"
647,11,"$20,480.00 ",Lose,"-20,480.00"
648,67,"$40,960.00 ",Lose,"-40,960.00"
649,23,"$81,920.00 ",Lose,"-81,920.00"
650,10,"$163,840.00 ",Lose,"-163,840.00"
651,8,"$327,680.00 ",Lose,"-327,680.00"
652,19,"$655,360.00 ",Lose,"-655,360.00"
653,5.5,"$1,310,720.00 ",Lose,"-1,310,720.00"
654,10,"$2,621,440.00 ",Lose,"-2,621,440.00"
655,3.5,"$5,242,880.00 ",Win,"13,107,200.00"
656,9,$10.00 ,Win,80.00
657,2.62,$10.00 ,Lose,-10.00
658,13,$20.00 ,Lose,-20.00
659,21,$40.00 ,Lose,-40.00
660,10,$80.00 ,Lose,-80.00
661,6.5,$160.00 ,Lose,-160.00
662,3,$320.00 ,Lose,-320.00
663,3.5,$640.00 ,Win,"1,600.00"
664,5,$10.00 ,Lose,-10.00
665,15,$20.00 ,Lose,-20.00
666,17,$40.00 ,Lose,-40.00
667,15,$80.00 ,Lose,-80.00
668,10,$160.00 ,Lose,-160.00
669,15,$320.00 ,Win,"4,480.00"
670,34,$10.00 ,Lose,-10.00
671,21,$20.00 ,Lose,-20.00
672,15,$40.00 ,Lose,-40.00
673,12,$80.00 ,Lose,-80.00
674,15,$160.00 ,Lose,-160.00
675,15,$320.00 ,Lose,-320.00
676,26,$640.00 ,Lose,-640.00
677,19,"$1,280.00 ",Lose,"-1,280.00"
678,13,"$2,560.00 ",Lose,"-2,560.00"
679,21,"$5,120.00 ",Lose,"-5,120.00"
680,17,"$10,240.00 ",Lose,"-10,240.00"
681,21,"$20,480.00 ",Lose,"-20,480.00"
682,12,"$40,960.00 ",Lose,"-40,960.00"
683,51,"$81,920.00 ",Lose,"-81,920.00"
684,21,"$163,840.00 ",Lose,"-163,840.00"
685,10,"$327,680.00 ",Lose,"-327,680.00"
686,12,"$655,360.00 ",Lose,"-655,360.00"
687,9,"$1,310,720.00 ",Win,"10,485,760.00"
688,6,$10.00 ,Lose,-10.00
689,10,$20.00 ,Lose,-20.00
690,6.5,$40.00 ,Lose,-40.00
691,7.5,$80.00 ,Lose,-80.00
692,2.75,$160.00 ,Lose,-160.00
693,17,$320.00 ,Lose,-320.00
694,21,$640.00 ,Lose,-640.00
695,26,"$1,280.00 ",Lose,"-1,280.00"
696,23,"$2,560.00 ",Lose,"-2,560.00"
697,13,"$5,120.00 ",Lose,"-5,120.00"
698,17,"$10,240.00 ",Lose,"-10,240.00"
699,51,"$20,480.00 ",Lose,"-20,480.00"
700,34,"$40,960.00 ",Lose,"-40,960.00"
701,7,"$81,920.00 ",Lose,"-81,920.00"
702,8,"$163,840.00 ",Lose,"-163,840.00"
703,9,"$327,680.00 ",Lose,"-327,680.00"
704,12,"$655,360.00 ",Lose,"-655,360.00"
705,15,"$1,310,720.00 ",Win,"18,350,080.00"
706,10,$10.00 ,Lose,-10.00
707,13,$20.00 ,Win,240.00
708,8.5,$10.00 ,Lose,-10.00
709,9,$20.00 ,Lose,-20.00
710,15,$40.00 ,Win,560.00
711,12,$10.00 ,Lose,-10.00
712,3.75,$20.00 ,Win,55.00
713,2.5,$10.00 ,Lose,-10.00
714,8.5,$20.00 ,Lose,-20.00
715,4.33,$40.00 ,Win,133.20
716,10,$10.00 ,Lose,-10.00
717,13,$20.00 ,Win,240.00
718,7,$10.00 ,Lose,-10.00
719,7.5,$20.00 ,Lose,-20.00
720,11,$40.00 ,Lose,-40.00
721,11,$80.00 ,Lose,-80.00
722,4.33,$160.00 ,Lose,-160.00
723,11,$320.00 ,Lose,-320.00
724,11,$640.00 ,Lose,-640.00
725,3.75,"$1,280.00 ",Lose,"-1,280.00"
726,10,"$2,560.00 ",Lose,"-2,560.00"
727,12,"$5,120.00 ",Lose,"-5,120.00"
728,21,"$10,240.00 ",Lose,"-10,240.00"
729,21,"$20,480.00 ",Lose,"-20,480.00"
730,21,"$40,960.00 ",Lose,"-40,960.00"
731,26,"$81,920.00 ",Lose,"-81,920.00"
732,26,"$163,840.00 ",Lose,"-163,840.00"
733,26,"$327,680.00 ",Lose,"-327,680.00"
734,15,"$655,360.00 ",Lose,"-655,360.00"
735,11,"$1,310,720.00 ",Lose,"-1,310,720.00"
736,13,"$2,621,440.00 ",Lose,"-2,621,440.00"
737,11,"$5,242,880.00 ",Lose,"-5,242,880.00"
738,26,"$10,485,760.00 ",Lose,"-10,485,760.00"
739,13,"$20,971,520.00 ",Lose,"-20,971,520.00"
740,21,"$41,943,040.00 ",Lose,"-41,943,040.00"
741,12,"$83,886,080.00 ",Lose,"-83,886,080.00"
742,15,"$167,772,160.00 ",Lose,"-167,772,160.00"
743,23,"$335,544,320.00 ",Win,"7,381,975,040.00"
744,10,$10.00 ,Lose,-10.00
745,12,$20.00 ,Lose,-20.00
746,34,$40.00 ,Lose,-40.00
747,13,$80.00 ,Lose,-80.00
748,10,$160.00 ,Lose,-160.00
749,13,$320.00 ,Lose,-320.00
750,9,$640.00 ,Win,"5,120.00"
751,15,$10.00 ,Lose,-10.00
752,21,$20.00 ,Lose,-20.00
753,21,$40.00 ,Lose,-40.00
754,6.5,$80.00 ,Lose,-80.00
755,13,$160.00 ,Lose,-160.00
756,5,$320.00 ,Lose,-320.00
757,7,$640.00 ,Lose,-640.00
758,26,"$1,280.00 ",Lose,"-1,280.00"
759,13,"$2,560.00 ",Lose,"-2,560.00"
760,10,"$5,120.00 ",Lose,"-5,120.00"
761,13,"$10,240.00 ",Lose,"-10,240.00"
762,17,"$20,480.00 ",Lose,"-20,480.00"
763,8.5,"$40,960.00 ",Lose,"-40,960.00"
764,13,"$81,920.00 ",Lose,"-81,920.00"
765,9,"$163,840.00 ",Lose,"-163,840.00"
766,34,"$327,680.00 ",Lose,"-327,680.00"
767,8.5,"$655,360.00 ",Lose,"-655,360.00"
768,9,"$1,310,720.00 ",Lose,"-1,310,720.00"
769,7,"$2,621,440.00 ",Lose,"-2,621,440.00"
770,15,"$5,242,880.00 ",Lose,"-5,242,880.00"
771,7,"$10,485,760.00 ",Win,"62,914,560.00"
772,17,$10.00 ,Lose,-10.00
773,21,$20.00 ,Lose,-20.00
774,26,$40.00 ,Lose,-40.00
775,23,$80.00 ,Lose,-80.00
776,41,$160.00 ,Lose,-160.00
777,17,$320.00 ,Lose,-320.00
778,12,$640.00 ,Lose,-640.00
779,10,"$1,280.00 ",Lose,"-1,280.00"
780,21,"$2,560.00 ",Lose,"-2,560.00"
781,26,"$5,120.00 ",Lose,"-5,120.00"
782,15,"$10,240.00 ",Lose,"-10,240.00"
783,23,"$20,480.00 ",Lose,"-20,480.00"
784,67,"$40,960.00 ",Lose,"-40,960.00"
785,26,"$81,920.00 ",Win,"2,048,000.00"
786,67,$10.00 ,Lose,-10.00
787,23,$20.00 ,Lose,-20.00
788,29,$40.00 ,Lose,-40.00
789,11,$80.00 ,Lose,-80.00
790,11,$160.00 ,Lose,-160.00
791,26,$320.00 ,Lose,-320.00
792,17,$640.00 ,Lose,-640.00
793,21,"$1,280.00 ",Lose,"-1,280.00"
794,67,"$2,560.00 ",Lose,"-2,560.00"
795,41,"$5,120.00 ",Lose,"-5,120.00"
796,67,"$10,240.00 ",Lose,"-10,240.00"
797,19,"$20,480.00 ",Lose,"-20,480.00"
798,21,"$40,960.00 ",Lose,"-40,960.00"
799,34,"$81,920.00 ",Lose,"-81,920.00"
800,26,"$163,840.00 ",Lose,"-163,840.00"
801,17,"$327,680.00 ",Lose,"-327,680.00"
802,34,"$655,360.00 ",Lose,"-655,360.00"
803,26,"$1,310,720.00 ",Lose,"-1,310,720.00"
804,21,"$2,621,440.00 ",Lose,"-2,621,440.00"
805,26,"$5,242,880.00 ",Lose,"-5,242,880.00"
806,26,"$10,485,760.00 ",Lose,"-10,485,760.00"
807,21,"$20,971,520.00 ",Lose,"-20,971,520.00"
808,21,"$41,943,040.00 ",Lose,"-41,943,040.00"
809,34,"$83,886,080.00 ",Lose,"-83,886,080.00"
810,21,"$167,772,160.00 ",Lose,"-167,772,160.00"
811,26,"$335,544,320.00 ",Lose,"-335,544,320.00"
812,21,"$671,088,640.00 ",Lose,"-671,088,640.00"
813,26,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
814,67,"$2,684,354,560.00 ",Lose,"-2,684,354,560.00"
815,21,"$5,368,709,120.00 ",Lose,"-5,368,709,120.00"
816,21,"$10,737,418,240.00 ",Lose,"-10,737,418,240.00"
817,17,"$21,474,836,480.00 ",Lose,"-21,474,836,480.00"
818,26,"$42,949,672,960.00 ",Lose,"-42,949,672,960.00"
819,17,"$85,899,345,920.00 ",Lose,"-85,899,345,920.00"
820,19,"$171,798,691,840.00 ",Win,"3,092,376,453,120.00"
821,23,$10.00 ,Lose,-10.00
822,57,$20.00 ,Lose,-20.00
823,34,$40.00 ,Lose,-40.00
824,21,$80.00 ,Lose,-80.00
825,11,$160.00 ,Lose,-160.00
826,17,$320.00 ,Lose,-320.00
827,21,$640.00 ,Lose,-640.00
828,23,"$1,280.00 ",Win,"28,160.00"
829,9,$10.00 ,Win,80.00
830,10,$10.00 ,Lose,-10.00
831,17,$20.00 ,Win,320.00
832,6,$10.00 ,Lose,-10.00
833,17,$20.00 ,Lose,-20.00
1,8.5,$40.00 ,Lose,-40.00
2,7,$80.00 ,Lose,-80.00
3,3,$160.00 ,Lose,-160.00
4,17,$320.00 ,Lose,-320.00
5,10,$640.00 ,Win,"5,760.00"
6,8.5,$10.00 ,Lose,-10.00
7,5,$20.00 ,Win,80.00
8,29,$10.00 ,Win,280.00
9,7,$10.00 ,Lose,-10.00
10,6,$20.00 ,Lose,-20.00
11,26,$40.00 ,Lose,-40.00
12,5.5,$80.00 ,Win,360.00
13,8,$10.00 ,Lose,-10.00
14,11,$20.00 ,Lose,-20.00
15,5,$40.00 ,Win,160.00
16,34,$10.00 ,Lose,-10.00
17,34,$20.00 ,Lose,-20.00
18,13,$40.00 ,Lose,-40.00
19,12,$80.00 ,Lose,-80.00
20,7,$160.00 ,Lose,-160.00
21,5.5,$320.00 ,Lose,-320.00
22,3.25,$640.00 ,Lose,-640.00
23,9,"$1,280.00 ",Lose,"-1,280.00"
24,11,"$2,560.00 ",Win,"25,600.00"
25,13,$10.00 ,Lose,-10.00
26,5,$20.00 ,Lose,-20.00
27,13,$40.00 ,Lose,-40.00
28,4.5,$80.00 ,Lose,-80.00
29,41,$160.00 ,Lose,-160.00
30,8,$320.00 ,Lose,-320.00
31,13,$640.00 ,Lose,-640.00
32,3,"$1,280.00 ",Lose,"-1,280.00"
33,6.5,"$2,560.00 ",Lose,"-2,560.00"
34,26,"$5,120.00 ",Lose,"-5,120.00"
35,5,"$10,240.00 ",Lose,"-10,240.00"
36,28,"$20,480.00 ",Lose,"-20,480.00"
37,26,"$40,960.00 ",Lose,"-40,960.00"
38,17,"$81,920.00 ",Lose,"-81,920.00"
39,13,"$163,840.00 ",Lose,"-163,840.00"
40,15,"$327,680.00 ",Lose,"-327,680.00"
41,5.5,"$655,360.00 ",Lose,"-655,360.00"
42,3.75,"$1,310,720.00 ",Lose,"-1,310,720.00"
43,7,"$2,621,440.00 ",Lose,"-2,621,440.00"
44,2,"$5,242,880.00 ",Win,"5,242,880.00"
45,9,$10.00 ,Lose,-10.00
46,26,$20.00 ,Lose,-20.00
47,6,$40.00 ,Win,200.00
48,13,$10.00 ,Lose,-10.00
49,4.33,$20.00 ,Lose,-20.00
50,11,$40.00 ,Lose,-40.00
51,8,$80.00 ,Lose,-80.00
52,13,$160.00 ,Win,"1,920.00"
53,13,$10.00 ,Lose,-10.00
54,29,$20.00 ,Lose,-20.00
55,3.5,$40.00 ,Lose,-40.00
56,41,$80.00 ,Lose,-80.00
57,9,$160.00 ,Win,"1,280.00"
58,10,$10.00 ,Win,90.00
59,13,$10.00 ,Lose,-10.00
60,4.5,$20.00 ,Win,70.00
61,13,$10.00 ,Lose,-10.00
62,6.5,$20.00 ,Lose,-20.00
63,5,$40.00 ,Lose,-40.00
64,13,$80.00 ,Lose,-80.00
65,9,$160.00 ,Lose,-160.00
66,10,$320.00 ,Lose,-320.00
67,34,$640.00 ,Win,"21,120.00"
68,10,$10.00 ,Lose,-10.00
69,7,$20.00 ,Lose,-20.00
70,17,$40.00 ,Lose,-40.00
71,8,$80.00 ,Win,560.00
72,10,$10.00 ,Lose,-10.00
73,21,$20.00 ,Lose,-20.00
74,8.5,$40.00 ,Lose,-40.00
75,6.5,$80.00 ,Win,440.00
76,3.5,$10.00 ,Win,25.00
77,3.75,$10.00 ,Win,27.50
78,6,$10.00 ,Lose,-10.00
79,2.38,$20.00 ,Lose,-20.00
80,17,$40.00 ,Lose,-40.00
81,41,$80.00 ,Lose,-80.00
82,90,$160.00 ,Lose,-160.00
83,11,$320.00 ,Lose,-320.00
84,2,$640.00 ,Win,640.00
85,16,$10.00 ,Lose,-10.00
86,5,$20.00 ,Lose,-20.00
87,3.75,$40.00 ,Win,110.00
88,13,$10.00 ,Lose,-10.00
89,4.5,$20.00 ,Win,70.00
90,3.6,$10.00 ,Lose,-10.00
91,11,$20.00 ,Win,200.00
92,11,$10.00 ,Lose,-10.00
93,10,$20.00 ,Win,180.00
94,9.5,$10.00 ,Win,85.00
95,5,$10.00 ,Lose,-10.00
96,3.75,$20.00 ,Win,55.00
97,1.91,$10.00 ,Win,9.10
98,51,$10.00 ,Lose,-10.00
99,4.33,$20.00 ,Lose,-20.00
100,15,$40.00 ,Lose,-40.00
101,6,$80.00 ,Lose,-80.00
102,3,$160.00 ,Lose,-160.00
103,4.5,$320.00 ,Lose,-320.00
104,3,$640.00 ,Lose,-640.00
105,3.75,"$1,280.00 ",Win,"3,520.00"
106,5.5,$10.00 ,Lose,-10.00
107,4,$20.00 ,Lose,-20.00
108,13,$40.00 ,Lose,-40.00
109,7,$80.00 ,Lose,-80.00
110,3.75,$160.00 ,Lose,-160.00
111,26,$320.00 ,Lose,-320.00
112,29,$640.00 ,Lose,-640.00
113,2.75,"$1,280.00 ",Lose,"-1,280.00"
114,7,"$2,560.00 ",Win,"15,360.00"
115,5,$10.00 ,Lose,-10.00
116,5.5,$20.00 ,Lose,-20.00
117,15,$40.00 ,Win,560.00
118,13,$10.00 ,Lose,-10.00
119,3,$20.00 ,Lose,-20.00
120,2.75,$40.00 ,Win,70.00
121,4.33,$10.00 ,Lose,-10.00
122,8,$20.00 ,Win,140.00
123,5,$10.00 ,Win,40.00
124,12,$10.00 ,Win,110.00
125,5,$10.00 ,Lose,-10.00
126,4.5,$20.00 ,Win,70.00
127,9,$10.00 ,Win,80.00
128,3.75,$10.00 ,Lose,-10.00
129,41,$20.00 ,Lose,-20.00
130,21,$40.00 ,Lose,-40.00
131,17,$80.00 ,Lose,-80.00
132,12,$160.00 ,Lose,-160.00
133,8,$320.00 ,Lose,-320.00
134,3.75,$640.00 ,Lose,-640.00
135,3.25,"$1,280.00 ",Lose,"-1,280.00"
136,10,"$2,560.00 ",Win,"23,040.00"
137,12,$10.00 ,Lose,-10.00
138,11,$20.00 ,Win,200.00
139,10,$10.00 ,Lose,-10.00
140,10,$20.00 ,Win,180.00
141,3,$10.00 ,Win,20.00
142,13,$10.00 ,Lose,-10.00
143,1.83,$20.00 ,Win,16.60
144,7,$10.00 ,Lose,-10.00
145,7,$20.00 ,Lose,-20.00
146,12,$40.00 ,Lose,-40.00
147,17,$80.00 ,Lose,-80.00
148,21,$160.00 ,Lose,-160.00
149,5,$320.00 ,Lose,-320.00
150,4.5,$640.00 ,Lose,-640.00
151,6.5,"$1,280.00 ",Win,"7,040.00"
152,3,$10.00 ,Lose,-10.00
153,8,$20.00 ,Win,140.00
154,17,$10.00 ,Lose,-10.00
155,6,$20.00 ,Win,100.00
156,29,$10.00 ,Lose,-10.00
157,10,$20.00 ,Lose,-20.00
158,8,$40.00 ,Win,280.00
159,2,$10.00 ,Win,10.00
160,67,$10.00 ,Lose,-10.00
