ID,Odds,Bet,Result,Profit
1211,9,"$1,000.00",Lose,$0.00
1212,29,"$1,000.00",Lose,$0.00
1213,9,"$1,000.00",Lose,$0.00
1214,11,"$1,000.00",Lose,$0.00
1215,5.5,"$1,000.00",Lose,$0.00
1216,10,"$1,000.00",Lose,$0.00
1217,10,"$1,000.00",Lose,$0.00
1218,15,"$1,000.00",Win,"$14,000.00"
1219,9,"$1,000.00",Lose,$0.00
1220,17,"$1,000.00",Lose,$0.00
1221,21,"$1,000.00",Lose,$0.00
1222,41,"$1,000.00",Lose,$0.00
1223,46,"$1,000.00",Lose,$0.00
1224,15,"$1,000.00",Win,"$14,000.00"
1225,6,"$1,000.00",Win,"$5,000.00"
1226,15,"$1,000.00",Lose,$0.00
1227,9,"$1,000.00",Win,"$8,000.00"
1228,51,"$1,000.00",Lose,$0.00
1229,9,"$1,000.00",Win,"$8,000.00"
1230,9,"$1,000.00",Lose,$0.00
1231,26,"$1,000.00",Lose,$0.00
1232,13,"$1,000.00",Win,"$12,000.00"
1233,29,"$1,000.00",Lose,$0.00
1234,5,"$1,000.00",Lose,$0.00
1235,67,"$1,000.00",Win,"$66,000.00"
1236,34,"$1,000.00",Lose,$0.00
1237,7,"$1,000.00",Lose,$0.00
1238,5,"$1,000.00",Lose,$0.00
1239,9,"$1,000.00",Lose,$0.00
1240,6,"$1,000.00",Win,"$5,000.00"
1241,13,"$1,000.00",Lose,$0.00
1242,9,"$1,000.00",Lose,$0.00
1243,21,"$1,000.00",Win,"$20,000.00"
1244,15,"$1,000.00",Win,"$14,000.00"
1245,6,"$1,000.00",Lose,$0.00
1246,9,"$1,000.00",Lose,$0.00
1247,26,"$1,000.00",Lose,$0.00
1248,17,"$1,000.00",Lose,$0.00
1249,21,"$1,000.00",Lose,$0.00
1250,41,"$1,000.00",Lose,$0.00
1251,8,"$1,000.00",Lose,$0.00
1252,10,"$1,000.00",Lose,$0.00
1253,6,"$1,000.00",Lose,$0.00
1254,5,"$1,000.00",Lose,$0.00
1255,41,"$1,000.00",Lose,$0.00
1256,13,"$1,000.00",Lose,$0.00
1257,7,"$1,000.00",Lose,$0.00
1258,4.5,"$1,000.00",Lose,$0.00
1259,7,"$1,000.00",Lose,$0.00
1260,13,"$1,000.00",Lose,$0.00
1261,11,"$1,000.00",Lose,$0.00
1262,7,"$1,000.00",Lose,$0.00
1263,13,"$1,000.00",Lose,$0.00
1264,15,"$1,000.00",Lose,$0.00
1265,4.5,"$1,000.00",Lose,$0.00
1266,17,"$1,000.00",Win,"$16,000.00"
1267,8,"$1,000.00",Lose,$0.00
1268,26,"$1,000.00",Lose,$0.00
1269,11,"$1,000.00",Lose,$0.00
1270,12,"$1,000.00",Lose,$0.00
1271,21,"$1,000.00",Lose,$0.00
1272,9,"$1,000.00",Lose,$0.00
1273,17,"$1,000.00",Lose,$0.00
1274,7,"$1,000.00",Lose,$0.00
1275,34,"$1,000.00",Lose,$0.00
1276,11,"$1,000.00",Lose,$0.00
1277,9,"$1,000.00",Win,"$8,000.00"
1278,21,"$1,000.00",Lose,$0.00
1279,8,"$1,000.00",Lose,$0.00
1280,21,"$1,000.00",Lose,$0.00
1281,10,"$1,000.00",Lose,$0.00
1282,17,"$1,000.00",Lose,$0.00
1283,8,"$1,000.00",Lose,$0.00
1284,8.5,"$1,000.00",Lose,$0.00
1285,7,"$1,000.00",Lose,$0.00
1286,12,"$1,000.00",Win,"$11,000.00"
1287,41,"$1,000.00",Lose,$0.00
1288,4.5,"$1,000.00",Lose,$0.00
1289,6.5,"$1,000.00",Lose,$0.00
1290,21,"$1,000.00",Lose,$0.00
1291,8.5,"$1,000.00",Lose,$0.00
1292,5,"$1,000.00",Lose,$0.00
1293,15,"$1,000.00",Win,"$14,000.00"
1294,34,"$1,000.00",Lose,$0.00
1295,7,"$1,000.00",Lose,$0.00
1296,29,"$1,000.00",Lose,$0.00
1297,13,"$1,000.00",Lose,$0.00
1298,6,"$1,000.00",Lose,$0.00
1299,15,"$1,000.00",Win,"$14,000.00"
1300,26,"$1,000.00",Lose,$0.00
1301,7.5,"$1,000.00",Lose,$0.00
1302,29,"$1,000.00",Lose,$0.00
1303,13,"$1,000.00",Lose,$0.00
1304,11,"$1,000.00",Win,"$10,000.00"
1305,9,"$1,000.00",Lose,$0.00
1306,29,"$1,000.00",Lose,$0.00
1307,7,"$1,000.00",Lose,$0.00
1308,8.5,"$1,000.00",Lose,$0.00
1309,26,"$1,000.00",Lose,$0.00
1310,11,"$1,000.00",Lose,$0.00
1311,4.5,"$1,000.00",Lose,$0.00
1312,10,"$1,000.00",Lose,$0.00
1313,4.5,"$1,000.00",Lose,$0.00
1314,17,"$1,000.00",Lose,$0.00
1315,70,"$1,000.00",Lose,$0.00
1316,9,"$1,000.00",Lose,$0.00
1317,7,"$1,000.00",Lose,$0.00
1318,7,"$1,000.00",Win,"$6,000.00"
1319,10,"$1,000.00",Win,"$9,000.00"
1320,13,"$1,000.00",Lose,$0.00
1321,17,"$1,000.00",Win,"$16,000.00"
1322,9,"$1,000.00",Lose,$0.00
1323,7.5,"$1,000.00",Lose,$0.00
1324,4.5,"$1,000.00",Win,"$3,500.00"
1325,21,"$1,000.00",Lose,$0.00
1326,6,"$1,000.00",Lose,$0.00
1327,5,"$1,000.00",Lose,$0.00
1328,17,"$1,000.00",Lose,$0.00
1329,15,"$1,000.00",Lose,$0.00
1330,6,"$1,000.00",Lose,$0.00
1331,13,"$1,000.00",Win,"$12,000.00"
1332,26,"$1,000.00",Lose,$0.00
1333,17,"$1,000.00",Win,"$16,000.00"
1334,21,"$1,000.00",Lose,$0.00
1335,6,"$1,000.00",Lose,$0.00
1336,9,"$1,000.00",Lose,$0.00
1337,10,"$1,000.00",Lose,$0.00
1338,15,"$1,000.00",Lose,$0.00
1339,11,"$1,000.00",Win,"$10,000.00"
1340,21,"$1,000.00",Lose,$0.00
1341,21,"$1,000.00",Lose,$0.00
1342,7,"$1,000.00",Lose,$0.00
1343,13,"$1,000.00",Lose,$0.00
1344,13,"$1,000.00",Lose,$0.00
1345,12,"$1,000.00",Lose,$0.00
1346,11,"$1,000.00",Lose,$0.00
1347,6,"$1,000.00",Lose,$0.00
1348,6,"$1,000.00",Lose,$0.00
1349,67,"$1,000.00",Lose,$0.00
1350,7,"$1,000.00",Lose,$0.00
1351,5,"$1,000.00",Lose,$0.00
1352,15,"$1,000.00",Lose,$0.00
1353,5.5,"$1,000.00",Lose,$0.00
1354,34,"$1,000.00",Lose,$0.00
1355,9,"$1,000.00",Lose,$0.00
1356,6,"$1,000.00",Lose,$0.00
1357,17,"$1,000.00",Lose,$0.00
1358,4.33,"$1,000.00",Lose,$0.00
1359,21,"$1,000.00",Lose,$0.00
1360,21,"$1,000.00",Lose,$0.00
1361,4.33,"$1,000.00",Win,"$3,330.00"
1362,15,"$1,000.00",Lose,$0.00
1363,7.5,"$1,000.00",Lose,$0.00
1364,5.5,"$1,000.00",Lose,$0.00
1365,4.5,"$1,000.00",Win,"$3,500.00"
1366,21,"$1,000.00",Lose,$0.00
1367,15,"$1,000.00",Lose,$0.00
1368,9.5,"$1,000.00",Lose,$0.00
1369,8,"$1,000.00",Win,"$7,000.00"
1370,5.5,"$1,000.00",Lose,$0.00
1371,34,"$1,000.00",Lose,$0.00
1372,11,"$1,000.00",Win,"$10,000.00"
1373,12,"$1,000.00",Lose,$0.00
1374,11,"$1,000.00",Win,"$10,000.00"
1375,12,"$1,000.00",Lose,$0.00
1376,9,"$1,000.00",Lose,$0.00
1377,34,"$1,000.00",Lose,$0.00
1378,8.5,"$1,000.00",Lose,$0.00
1379,15,"$1,000.00",Lose,$0.00
1380,8,"$1,000.00",Lose,$0.00
1381,7,"$1,000.00",Lose,$0.00
1382,5.5,"$1,000.00",Lose,$0.00
1383,9,"$1,000.00",Lose,$0.00
1384,7,"$1,000.00",Lose,$0.00
1385,21,"$1,000.00",Lose,$0.00
1386,41,"$1,000.00",Lose,$0.00
1387,8.5,"$1,000.00",Lose,$0.00
1388,9,"$1,000.00",Lose,$0.00
1389,8,"$1,000.00",Lose,$0.00
1390,17,"$1,000.00",Lose,$0.00
1391,17,"$1,000.00",Lose,$0.00
1392,8,"$1,000.00",Lose,$0.00
1393,9,"$1,000.00",Lose,$0.00
1394,5.5,"$1,000.00",Win,"$4,500.00"
1395,5,"$1,000.00",Lose,$0.00
1396,17,"$1,000.00",Lose,$0.00
1397,9,"$1,000.00",Lose,$0.00
1398,26,"$1,000.00",Lose,$0.00
1399,19,"$1,000.00",Lose,$0.00
1400,8,"$1,000.00",Lose,$0.00
1401,34,"$1,000.00",Lose,$0.00
1402,34,"$1,000.00",Lose,$0.00
1403,17,"$1,000.00",Lose,$0.00
1404,34,"$1,000.00",Lose,$0.00
1405,7,"$1,000.00",Win,"$6,000.00"
1406,11,"$1,000.00",Lose,$0.00
1407,101,"$1,000.00",Lose,$0.00
1408,26,"$1,000.00",Lose,$0.00
1409,13,"$1,000.00",Lose,$0.00
1410,11,"$1,000.00",Lose,$0.00
1411,29,"$1,000.00",Lose,$0.00
1412,26,"$1,000.00",Lose,$0.00
1413,26,"$1,000.00",Lose,$0.00
1414,13,"$1,000.00",Lose,$0.00
1415,21,"$1,000.00",Lose,$0.00
1416,7,"$1,000.00",Lose,$0.00
1417,21,"$1,000.00",Lose,$0.00
1418,21,"$1,000.00",Lose,$0.00
1419,17,"$1,000.00",Lose,$0.00
1420,10,"$1,000.00",Lose,$0.00
1421,17,"$1,000.00",Lose,$0.00
1422,4.5,"$1,000.00",Lose,$0.00
1423,9,"$1,000.00",Lose,$0.00
1424,8,"$1,000.00",Lose,$0.00
1425,17,"$1,000.00",Lose,$0.00
1426,34,"$1,000.00",Lose,$0.00
1427,21,"$1,000.00",Lose,$0.00
1428,9,"$1,000.00",Lose,$0.00
1429,13,"$1,000.00",Lose,$0.00
1430,34,"$1,000.00",Lose,$0.00
1431,8.5,"$1,000.00",Win,"$7,500.00"
1432,10,"$1,000.00",Lose,$0.00
1433,10,"$1,000.00",Lose,$0.00
1434,8,"$1,000.00",Lose,$0.00
1435,17,"$1,000.00",Lose,$0.00
1436,13,"$1,000.00",Lose,$0.00
1437,21,"$1,000.00",Lose,$0.00
1438,11,"$1,000.00",Lose,$0.00
1439,9,"$1,000.00",Lose,$0.00
1440,11,"$1,000.00",Lose,$0.00
1441,29,"$1,000.00",Lose,$0.00
1442,11,"$1,000.00",Lose,$0.00
1443,15,"$1,000.00",Lose,$0.00
1444,8,"$1,000.00",Lose,$0.00
1445,9,"$1,000.00",Lose,$0.00
1446,21,"$1,000.00",Lose,$0.00
1447,8,"$1,000.00",Win,"$7,000.00"
1448,10,"$1,000.00",Lose,$0.00
1449,7,"$1,000.00",Lose,$0.00
1450,17,"$1,000.00",Lose,$0.00
1451,51,"$1,000.00",Lose,$0.00
1452,26,"$1,000.00",Lose,$0.00
1453,7,"$1,000.00",Lose,$0.00
1454,13,"$1,000.00",Lose,$0.00
1455,9,"$1,000.00",Win,"$8,000.00"
1456,11,"$1,000.00",Lose,$0.00
1457,17,"$1,000.00",Lose,$0.00
1458,17,"$1,000.00",Lose,$0.00
1459,9,"$1,000.00",Lose,$0.00
1460,15,"$1,000.00",Lose,$0.00
1461,23,"$1,000.00",Lose,$0.00
1462,11,"$1,000.00",Lose,$0.00
1463,26,"$1,000.00",Lose,$0.00
1464,8.5,"$1,000.00",Lose,$0.00
1465,7,"$1,000.00",Lose,$0.00
1466,13,"$1,000.00",Lose,$0.00
1467,5.5,"$1,000.00",Lose,$0.00
1468,11,"$1,000.00",Lose,$0.00
1469,13,"$1,000.00",Lose,$0.00
1470,11,"$1,000.00",Lose,$0.00
1471,15,"$1,000.00",Lose,$0.00
1472,15,"$1,000.00",Lose,$0.00
1473,15,"$1,000.00",Lose,$0.00
1474,26,"$1,000.00",Lose,$0.00
1475,8.5,"$1,000.00",Lose,$0.00
1476,13,"$1,000.00",Win,"$12,000.00"
1477,8.5,"$1,000.00",Lose,$0.00
1478,7.5,"$1,000.00",Lose,$0.00
1479,9,"$1,000.00",Lose,$0.00
1480,17,"$1,000.00",Lose,$0.00
1481,21,"$1,000.00",Lose,$0.00
1482,5,"$1,000.00",Lose,$0.00
1483,21,"$1,000.00",Lose,$0.00
1484,34,"$1,000.00",Win,"$33,000.00"
1485,11,"$1,000.00",Lose,$0.00
1486,8.5,"$1,000.00",Lose,$0.00
1487,17,"$1,000.00",Lose,$0.00
1488,17,"$1,000.00",Lose,$0.00
1489,13,"$1,000.00",Lose,$0.00
1490,41,"$1,000.00",Lose,$0.00
1491,26,"$1,000.00",Lose,$0.00
1492,8,"$1,000.00",Lose,$0.00
1493,34,"$1,000.00",Lose,$0.00
1494,10,"$1,000.00",Lose,$0.00
1495,4,"$1,000.00",Lose,$0.00
1496,41,"$1,000.00",Lose,$0.00
1497,67,"$1,000.00",Lose,$0.00
1498,13,"$1,000.00",Lose,$0.00
1499,26,"$1,000.00",Lose,$0.00
1500,6,"$1,000.00",Lose,$0.00
1501,9,"$1,000.00",Lose,$0.00
1502,9,"$1,000.00",Lose,$0.00
1503,11,"$1,000.00",Lose,$0.00
1504,13,"$1,000.00",Lose,$0.00
1505,5,"$1,000.00",Win,"$4,000.00"
1506,15,"$1,000.00",Lose,$0.00
1507,5.5,"$1,000.00",Lose,$0.00
1508,9,"$1,000.00",Win,"$8,000.00"
1509,8,"$1,000.00",Win,"$7,000.00"
1510,7,"$1,000.00",Lose,$0.00
1511,5.5,"$1,000.00",Lose,$0.00
1512,11,"$1,000.00",Lose,$0.00
1513,11,"$1,000.00",Win,"$10,000.00"
1514,15,"$1,000.00",Win,"$14,000.00"
1515,15,"$1,000.00",Lose,$0.00
1516,15,"$1,000.00",Lose,$0.00
1517,11,"$1,000.00",Lose,$0.00
1518,6,"$1,000.00",Lose,$0.00
1519,23,"$1,000.00",Lose,$0.00
1520,6.5,"$1,000.00",Lose,$0.00
1521,23,"$1,000.00",Win,"$22,000.00"
1522,17,"$1,000.00",Lose,$0.00
1523,7,"$1,000.00",Lose,$0.00
1524,11,"$1,000.00",Lose,$0.00
1525,11,"$1,000.00",Lose,$0.00
1526,6.5,"$1,000.00",Lose,$0.00
1527,7.5,"$1,000.00",Lose,$0.00
1528,10,"$1,000.00",Win,"$9,000.00"
1529,11,"$1,000.00",Lose,$0.00
1530,6.5,"$1,000.00",Lose,$0.00
1531,17,"$1,000.00",Lose,$0.00
1532,5.5,"$1,000.00",Win,"$4,500.00"
1533,11,"$1,000.00",Win,"$10,000.00"
1534,67,"$1,000.00",Lose,$0.00
1535,17,"$1,000.00",Lose,$0.00
1536,34,"$1,000.00",Lose,$0.00
1537,26,"$1,000.00",Lose,$0.00
1538,4.5,"$1,000.00",Lose,$0.00
1539,15,"$1,000.00",Lose,$0.00
1540,9,"$1,000.00",Lose,$0.00
1541,6.5,"$1,000.00",Win,"$5,500.00"
1542,34,"$1,000.00",Lose,$0.00
1543,17,"$1,000.00",Lose,$0.00
1544,11,"$1,000.00",Lose,$0.00
1545,11,"$1,000.00",Lose,$0.00
1546,9,"$1,000.00",Win,"$8,000.00"
1547,17,"$1,000.00",Lose,$0.00
1548,6.5,"$1,000.00",Win,"$5,500.00"
1549,8,"$1,000.00",Lose,$0.00
1550,13,"$1,000.00",Lose,$0.00
1551,12,"$1,000.00",Lose,$0.00
1552,11,"$1,000.00",Lose,$0.00
1553,41,"$1,000.00",Win,"$40,000.00"
1554,15,"$1,000.00",Lose,$0.00
1555,5,"$1,000.00",Lose,$0.00
1556,5.5,"$1,000.00",Lose,$0.00
1557,15,"$1,000.00",Lose,$0.00
1558,21,"$1,000.00",Lose,$0.00
1559,13,"$1,000.00",Lose,$0.00
1560,34,"$1,000.00",Lose,$0.00
1561,34,"$1,000.00",Lose,$0.00
1562,15,"$1,000.00",Lose,$0.00
1563,8,"$1,000.00",Lose,$0.00
1564,34,"$1,000.00",Lose,$0.00
1565,21,"$1,000.00",Lose,$0.00
1566,6.5,"$1,000.00",Lose,$0.00
1567,9,"$1,000.00",Lose,$0.00
1568,8,"$1,000.00",Lose,$0.00
1569,13,"$1,000.00",Lose,$0.00
1570,266,"$1,000.00",Lose,$0.00
1571,14.6,"$1,000.00",Lose,$0.00
1572,21,"$1,000.00",Lose,$0.00
1573,8,"$1,000.00",Lose,$0.00
1574,4.5,"$1,000.00",Lose,$0.00
1575,15,"$1,000.00",Lose,$0.00
1576,13,"$1,000.00",Lose,$0.00
1577,15,"$1,000.00",Lose,$0.00
1578,13,"$1,000.00",Win,"$12,000.00"
1579,76,"$1,000.00",Lose,$0.00
1580,67,"$1,000.00",Lose,$0.00
1581,8,"$1,000.00",Lose,$0.00
1582,29,"$1,000.00",Lose,$0.00
1583,7,"$1,000.00",Lose,$0.00
1584,34,"$1,000.00",Lose,$0.00
1585,17,"$1,000.00",Win,"$16,000.00"
1586,7,"$1,000.00",Lose,$0.00
1587,41,"$1,000.00",Lose,$0.00
1588,21,"$1,000.00",Lose,$0.00
1589,8.5,"$1,000.00",Lose,$0.00
1590,11,"$1,000.00",Win,"$10,000.00"
1591,7,"$1,000.00",Lose,$0.00
1592,7.5,"$1,000.00",Lose,$0.00
1593,7.5,"$1,000.00",Lose,$0.00
1594,13,"$1,000.00",Win,"$12,000.00"
1595,6,"$1,000.00",Lose,$0.00
1596,11,"$1,000.00",Lose,$0.00
1597,15,"$1,000.00",Lose,$0.00
1598,10,"$1,000.00",Lose,$0.00
1599,6.5,"$1,000.00",Lose,$0.00
1600,4.5,"$1,000.00",Lose,$0.00
1601,4,"$1,000.00",Lose,$0.00
1602,5.5,"$1,000.00",Lose,$0.00
1603,5,"$1,000.00",Lose,$0.00
1604,9,"$1,000.00",Lose,$0.00
1605,9,"$1,000.00",Lose,$0.00
1606,41,"$1,000.00",Lose,$0.00
1607,23,"$1,000.00",Lose,$0.00
1608,13,"$1,000.00",Lose,$0.00
1609,34,"$1,000.00",Lose,$0.00
1610,5.5,"$1,000.00",Lose,$0.00
1611,8,"$1,000.00",Lose,$0.00
1612,26,"$1,000.00",Win,"$25,000.00"
1613,12,"$1,000.00",Lose,$0.00
1614,13,"$1,000.00",Lose,$0.00
1615,8.5,"$1,000.00",Lose,$0.00
1616,21,"$1,000.00",Lose,$0.00
1617,7,"$1,000.00",Lose,$0.00
1618,7.5,"$1,000.00",Lose,$0.00
1619,11,"$1,000.00",Lose,$0.00
1620,21,"$1,000.00",Lose,$0.00
1621,67,"$1,000.00",Lose,$0.00
1622,9,"$1,000.00",Lose,$0.00
1623,34,"$1,000.00",Lose,$0.00
1624,11,"$1,000.00",Lose,$0.00
1625,7.5,"$1,000.00",Lose,$0.00
1626,9,"$1,000.00",Lose,$0.00
1627,5.5,"$1,000.00",Lose,$0.00
1628,13,"$1,000.00",Lose,$0.00
1629,13,"$1,000.00",Lose,$0.00
1630,13,"$1,000.00",Lose,$0.00
1631,11,"$1,000.00",Lose,$0.00
1632,51,"$1,000.00",Lose,$0.00
1633,23,"$1,000.00",Lose,$0.00
1634,26,"$1,000.00",Lose,$0.00
1635,5,"$1,000.00",Lose,$0.00
1636,9,"$1,000.00",Lose,$0.00
1637,15,"$1,000.00",Lose,$0.00
1638,17,"$1,000.00",Win,"$16,000.00"
1639,8,"$1,000.00",Lose,$0.00
1640,13,"$1,000.00",Lose,$0.00
1641,5.5,"$1,000.00",Lose,$0.00
1642,15,"$1,000.00",Lose,$0.00
1643,8,"$1,000.00",Lose,$0.00
1644,6,"$1,000.00",Lose,$0.00
1645,13,"$1,000.00",Lose,$0.00
1646,15,"$1,000.00",Lose,$0.00
1647,7,"$1,000.00",Lose,$0.00
1648,21,"$1,000.00",Lose,$0.00
1649,13,"$1,000.00",Lose,$0.00
1650,17,"$1,000.00",Lose,$0.00
1651,8,"$1,000.00",Lose,$0.00
1652,15,"$1,000.00",Lose,$0.00
1653,13,"$1,000.00",Win,"$12,000.00"
1654,3.5,"$1,000.00",Lose,$0.00
1655,11,"$1,000.00",Lose,$0.00
1656,6,"$1,000.00",Lose,$0.00
1657,8,"$1,000.00",Lose,$0.00
1658,10,"$1,000.00",Win,"$9,000.00"
1659,9,"$1,000.00",Lose,$0.00
1660,51,"$1,000.00",Lose,$0.00
1661,2.75,"$1,000.00",Lose,$0.00
1662,3,"$1,000.00",Lose,$0.00
1663,4,"$1,000.00",Win,"$3,000.00"
1664,9,"$1,000.00",Lose,$0.00
1665,19,"$1,000.00",Win,"$18,000.00"
1666,34,"$1,000.00",Lose,$0.00
1667,8,"$1,000.00",Win,"$7,000.00"
1668,41,"$1,000.00",Win,"$40,000.00"
1669,3,"$1,000.00",Lose,$0.00
1670,13,"$1,000.00",Win,"$12,000.00"
1671,51,"$1,000.00",Lose,$0.00
1672,8,"$1,000.00",Win,"$7,000.00"
1673,6.5,"$1,000.00",Win,"$5,500.00"
1674,17,"$1,000.00",Lose,$0.00
1675,17,"$1,000.00",Lose,$0.00
1676,6,"$1,000.00",Lose,$0.00
1677,5.5,"$1,000.00",Win,"$4,500.00"
1678,7,"$1,000.00",Lose,$0.00
1679,34,"$1,000.00",Lose,$0.00
1680,11,"$1,000.00",Lose,$0.00
1681,9,"$1,000.00",Lose,$0.00
1682,17,"$1,000.00",Lose,$0.00
1683,6,"$1,000.00",Win,"$5,000.00"
1684,9,"$1,000.00",Win,"$8,000.00"
1685,11,"$1,000.00",Win,"$10,000.00"
1686,7.5,"$1,000.00",Lose,$0.00
1687,21,"$1,000.00",Lose,$0.00
1688,9,"$1,000.00",Win,"$8,000.00"
1689,7,"$1,000.00",Win,"$6,000.00"
1690,26,"$1,000.00",Lose,$0.00
1691,10,"$1,000.00",Lose,$0.00
1692,407,"$1,000.00",Lose,$0.00
1693,34,"$1,000.00",Lose,$0.00
1694,10,"$1,000.00",Lose,$0.00
1695,6,"$1,000.00",Lose,$0.00
1696,34,"$1,000.00",Lose,$0.00
1697,5,"$1,000.00",Lose,$0.00
1698,10,"$1,000.00",Lose,$0.00
1699,41,"$1,000.00",Lose,$0.00
1700,9,"$1,000.00",Lose,$0.00
1701,8,"$1,000.00",Win,"$7,000.00"
1702,9,"$1,000.00",Lose,$0.00
1703,11,"$1,000.00",Lose,$0.00
1704,9,"$1,000.00",Win,"$8,000.00"
1705,3.75,"$1,000.00",Lose,$0.00
1706,13,"$1,000.00",Lose,$0.00
1707,12,"$1,000.00",Lose,$0.00
1708,12,"$1,000.00",Lose,$0.00
1709,8,"$1,000.00",Win,"$7,000.00"
1710,15,"$1,000.00",Lose,$0.00
1711,3.75,"$1,000.00",Win,"$2,750.00"
1712,9,"$1,000.00",Lose,$0.00
1713,11,"$1,000.00",Lose,$0.00
1714,11,"$1,000.00",Lose,$0.00
1715,101,"$1,000.00",Lose,$0.00
1716,6,"$1,000.00",Lose,$0.00
1717,26,"$1,000.00",Lose,$0.00
1718,11,"$1,000.00",Win,"$10,000.00"
1719,15,"$1,000.00",Lose,$0.00
1720,41,"$1,000.00",Lose,$0.00
1721,17,"$1,000.00",Lose,$0.00
1722,34,"$1,000.00",Lose,$0.00
1723,11,"$1,000.00",Lose,$0.00
1724,9,"$1,000.00",Lose,$0.00
1725,21,"$1,000.00",Lose,$0.00
1726,15,"$1,000.00",Lose,$0.00
1727,21,"$1,000.00",Lose,$0.00
1728,51,"$1,000.00",Lose,$0.00
1729,5.5,"$1,000.00",Lose,$0.00
1730,11,"$1,000.00",Lose,$0.00
1731,11,"$1,000.00",Lose,$0.00
1732,9,"$1,000.00",Win,"$8,000.00"
1733,8,"$1,000.00",Lose,$0.00
1734,15,"$1,000.00",Lose,$0.00
1735,13,"$1,000.00",Lose,$0.00
1736,6.5,"$1,000.00",Lose,$0.00
1737,7,"$1,000.00",Lose,$0.00
1738,6.5,"$1,000.00",Lose,$0.00
1739,7.5,"$1,000.00",Win,"$6,500.00"
1740,9,"$1,000.00",Win,"$8,000.00"
1741,8,"$1,000.00",Lose,$0.00
1742,15,"$1,000.00",Win,"$14,000.00"
1743,5.5,"$1,000.00",Win,"$4,500.00"
1744,6,"$1,000.00",Lose,$0.00
1745,10,"$1,000.00",Lose,$0.00
1746,11,"$1,000.00",Win,"$10,000.00"
1747,6,"$1,000.00",Lose,$0.00
1748,34,"$1,000.00",Lose,$0.00
1749,4.5,"$1,000.00",Lose,$0.00
1750,21,"$1,000.00",Lose,$0.00
1751,21,"$1,000.00",Lose,$0.00
1752,13,"$1,000.00",Lose,$0.00
1753,7,"$1,000.00",Lose,$0.00
1754,9,"$1,000.00",Lose,$0.00
1755,11,"$1,000.00",Lose,$0.00
1756,10,"$1,000.00",Lose,$0.00
1757,11,"$1,000.00",Lose,$0.00
1758,7.5,"$1,000.00",Win,"$6,500.00"
1759,9,"$1,000.00",Lose,$0.00
1760,7.5,"$1,000.00",Lose,$0.00
1761,3.75,"$1,000.00",Lose,$0.00
1762,10,"$1,000.00",Win,"$9,000.00"
1763,13,"$1,000.00",Win,"$12,000.00"
1764,15,"$1,000.00",Lose,$0.00
1765,13,"$1,000.00",Lose,$0.00
1766,5.5,"$1,000.00",Lose,$0.00
1767,6,"$1,000.00",Lose,$0.00
1768,6.5,"$1,000.00",Win,"$5,500.00"
1769,13,"$1,000.00",Lose,$0.00
1770,15,"$1,000.00",Lose,$0.00
1771,12,"$1,000.00",Lose,$0.00
1772,13,"$1,000.00",Lose,$0.00
1773,8,"$1,000.00",Lose,$0.00
1774,12,"$1,000.00",Lose,$0.00
1775,17,"$1,000.00",Lose,$0.00
1776,17,"$1,000.00",Lose,$0.00
1777,7.5,"$1,000.00",Lose,$0.00
1778,51,"$1,000.00",Lose,$0.00
1779,15,"$1,000.00",Lose,$0.00
1780,13,"$1,000.00",Lose,$0.00
1781,15,"$1,000.00",Lose,$0.00
1782,15,"$1,000.00",Lose,$0.00
1783,17,"$1,000.00",Lose,$0.00
1784,4,"$1,000.00",Win,"$3,000.00"
1785,34,"$1,000.00",Lose,$0.00
1786,13,"$1,000.00",Lose,$0.00
1787,21,"$1,000.00",Lose,$0.00
1788,15,"$1,000.00",Lose,$0.00
1789,29,"$1,000.00",Lose,$0.00
1790,21,"$1,000.00",Lose,$0.00
1791,21,"$1,000.00",Lose,$0.00
1792,111,"$1,000.00",Lose,$0.00
1793,5,"$1,000.00",Lose,$0.00
1794,10,"$1,000.00",Lose,$0.00
1795,4.5,"$1,000.00",Lose,$0.00
1796,2.88,"$1,000.00",Win,"$1,880.00"
1797,5,"$1,000.00",Lose,$0.00
1798,17,"$1,000.00",Win,"$16,000.00"
1799,6,"$1,000.00",Win,"$5,000.00"
1800,5.5,"$1,000.00",Win,"$4,500.00"
1801,2.88,"$1,000.00",Lose,$0.00
1802,9,"$1,000.00",Lose,$0.00
1803,7,"$1,000.00",Lose,$0.00
1804,9,"$1,000.00",Lose,$0.00
1805,17,"$1,000.00",Win,"$16,000.00"
1806,4.5,"$1,000.00",Win,"$3,500.00"
1807,8,"$1,000.00",Lose,$0.00
1808,11,"$1,000.00",Lose,$0.00
1809,15,"$1,000.00",Lose,$0.00
1810,18,"$1,000.00",Win,"$17,000.00"
1811,15,"$1,000.00",Lose,$0.00
1812,6,"$1,000.00",Lose,$0.00
1813,7.5,"$1,000.00",Win,"$6,500.00"
1814,9,"$1,000.00",Lose,$0.00
1815,17,"$1,000.00",Lose,$0.00
1816,6,"$1,000.00",Lose,$0.00
1817,17,"$1,000.00",Lose,$0.00
1818,6,"$1,000.00",Win,"$5,000.00"
1819,5.5,"$1,000.00",Lose,$0.00
1820,7.5,"$1,000.00",Win,"$6,500.00"
1821,13,"$1,000.00",Win,"$12,000.00"
1822,4.33,"$1,000.00",Lose,$0.00
1823,4.5,"$1,000.00",Lose,$0.00
1824,15,"$1,000.00",Win,"$14,000.00"
